
# ;[];[];[];[];[];[];[];[pictet clean energy transition r][pictet clean energy r];[];[];[];[];[];[];[];[];[];
# ;pareto global b;pareto nordic corporate bond c;pareto räntefond a;pareto sverige a;pictet asian equities ex japan r;pictet biotech r;pictet china equities r;pictet clean energy transition r;pictet digital r;pictet emerging markets r;pictet eur bonds r;pictet global bonds r;pictet global emerging debt r;pictet global megatrend selection r;pictet health r;pictet indian equities r;pictet japanese equity opportunities r;
2024-02-14;-0,058;-0,045;;;-0,190;-0,200;;-0,170;-0,137;-0,132;-0,001;0,022;-0,059;-0,057;0,057;0,032;-0,121;
2024-02-15;-0,058;-0,045;;;-0,192;-0,194;;-0,168;-0,139;-0,134;-0,003;0,020;-0,060;-0,055;0,059;0,030;-0,123;
2024-02-16;-0,060;-0,045;;;-0,191;-0,197;;-0,171;-0,142;-0,135;-0,005;0,017;-0,063;-0,058;0,057;0,031;-0,123;
2024-02-19;;-0,045;;;-0,191;;-0,098;;;;-0,006;;;;;0,031;-0,121;
2024-02-20;-0,060;-0,044;;;-0,191;-0,195;-0,097;-0,179;-0,151;-0,133;-0,005;0,017;-0,064;-0,061;0,057;0,032;-0,125;
2024-02-21;-0,063;-0,044;;;-0,193;-0,201;-0,094;-0,182;-0,159;-0,135;-0,007;0,014;-0,066;-0,065;0,053;0,025;-0,125;
2024-02-22;-0,058;-0,044;;;-0,192;-0,206;-0,094;-0,174;-0,149;-0,135;-0,009;0,009;-0,069;-0,063;0,053;0,026;-0,123;
2024-02-23;-0,058;;;;-0,190;-0,198;-0,091;-0,174;-0,147;-0,134;;;;-0,058;0,059;0,028;;
2024-02-26;;-0,044;;;;;;;;;-0,008;0,013;-0,063;;;;;
2024-02-27;-0,061;-0,043;;;-0,194;-0,185;-0,090;-0,173;-0,152;-0,138;-0,010;0,010;-0,066;-0,059;0,056;0,024;-0,121;
2024-02-28;-0,062;-0,043;;;-0,194;-0,171;-0,094;-0,174;-0,152;-0,137;-0,007;0,014;-0,061;-0,056;0,056;0,024;-0,121;
2024-02-29;-0,062;-0,043;;;-0,190;-0,180;-0,089;-0,171;-0,149;-0,135;-0,006;0,015;-0,061;-0,055;0,057;0,027;-0,118;
2024-03-01;-0,062;-0,043;;;-0,186;-0,178;-0,086;-0,165;-0,146;-0,132;-0,006;0,017;-0,058;-0,054;0,059;0,031;-0,114;
2024-03-04;-0,058;;;;-0,185;-0,177;-0,092;-0,159;-0,143;-0,130;;;;-0,051;0,062;0,030;-0,114;
2024-03-05;;-0,042;;;;;;;;;-0,000;0,021;-0,055;;;;;
2024-03-06;-0,062;-0,042;;;-0,185;-0,186;-0,092;-0,161;-0,146;-0,127;0,000;0,022;-0,054;-0,052;0,063;0,032;-0,105;
2024-03-07;-0,060;-0,042;;;-0,187;-0,193;-0,100;-0,155;-0,146;-0,129;-0,001;0,020;-0,056;-0,051;0,067;0,029;-0,106;
2024-03-08;-0,062;-0,042;;;-0,185;-0,192;-0,100;-0,158;-0,139;-0,130;;;;-0,051;0,067;;-0,111;
2024-03-11;-0,060;-0,041;;;;;;;;;-0,002;0,017;-0,058;;;;;
2024-03-12;-0,051;-0,041;;;-0,178;-0,206;-0,085;-0,167;-0,145;-0,126;-0,002;0,016;-0,057;-0,055;0,064;0,025;-0,116;
2024-03-13;-0,053;-0,041;;;-0,177;-0,204;-0,082;-0,168;-0,145;-0,124;-0,003;0,016;-0,059;-0,054;0,066;0,017;-0,121;
2024-03-14;-0,050;-0,041;;;-0,180;-0,211;-0,089;-0,175;-0,144;-0,125;-0,004;0,013;-0,060;-0,058;0,061;0,022;-0,122;
2024-03-15;-0,053;-0,041;;;-0,180;-0,208;-0,084;-0,173;-0,144;-0,124;-0,002;0,017;-0,057;-0,054;0,068;0,026;-0,115;
2024-03-18;-0,048;-0,040;;;-0,177;-0,207;-0,082;-0,172;-0,142;-0,123;-0,002;0,017;-0,057;-0,053;0,067;0,026;-0,108;
2024-03-19;-0,045;-0,040;;;-0,177;-0,204;-0,082;-0,171;-0,143;-0,120;0,002;0,022;-0,051;-0,051;0,069;0,027;-0,104;
2024-03-20;-0,046;-0,040;;;-0,176;-0,208;-0,081;-0,168;-0,140;-0,119;0,001;0,021;-0,051;-0,049;0,071;0,026;;
2024-03-21;-0,041;-0,040;;;-0,172;-0,195;-0,081;-0,156;-0,130;-0,116;0,001;0,018;-0,050;-0,043;0,073;0,027;-0,099;
2024-03-22;-0,041;;;;-0,170;-0,197;-0,081;-0,156;-0,128;-0,114;;;;-0,042;0,072;0,031;-0,095;
2024-03-25;;-0,040;;;;;;;;;0,005;0,026;-0,041;;;;;
2024-03-26;-0,038;-0,040;;;-0,169;-0,190;-0,083;-0,154;-0,123;-0,113;0,008;0,026;-0,039;-0,040;0,075;0,035;-0,096;
2024-03-27;;-0,039;;;-0,170;-0,189;-0,086;-0,153;-0,128;-0,114;0,010;0,029;-0,039;-0,039;0,076;0,037;-0,095;
2024-03-28;;;;;-0,165;-0,180;-0,079;-0,148;-0,123;-0,108;0,012;0,032;-0,033;-0,033;0,083;0,044;-0,091;
2024-04-02;-0,039;-0,039;;;-0,158;-0,191;-0,067;-0,152;-0,123;-0,103;0,010;0,032;-0,035;-0,037;0,078;0,048;-0,097;
2024-04-03;-0,040;-0,038;;;-0,162;-0,196;-0,072;-0,154;-0,122;-0,107;0,010;0,030;-0,037;-0,039;0,077;0,045;-0,098;
2024-04-04;-0,044;-0,038;;;;-0,196;;-0,151;-0,122;;0,010;0,027;-0,040;-0,040;0,074;0,045;-0,098;
2024-04-05;-0,041;-0,038;;;-0,164;-0,204;;-0,158;-0,125;-0,108;0,009;0,026;-0,039;-0,045;0,070;0,047;-0,077;
2024-04-08;-0,045;-0,038;;;-0,165;-0,203;-0,077;-0,156;-0,125;-0,108;0,006;0,025;-0,041;-0,045;0,072;0,049;-0,098;
2024-04-09;-0,044;-0,038;;;-0,165;-0,203;-0,078;-0,156;-0,126;-0,108;0,007;0,024;-0,041;-0,045;0,070;0,046;-0,099;
2024-04-10;-0,043;-0,038;;;-0,167;-0,211;-0,077;-0,164;-0,130;-0,111;0,004;0,018;-0,044;-0,052;0,064;;-0,101;
2024-04-11;-0,040;-0,038;;;-0,159;-0,202;-0,067;-0,157;-0,120;-0,104;0,005;0,023;-0,040;-0,045;0,071;;-0,096;
2024-04-12;-0,044;-0,038;;;-0,161;-0,198;-0,072;-0,156;-0,117;-0,106;0,009;0,028;-0,037;-0,044;0,070;0,053;-0,094;
2024-04-15;-0,043;-0,038;;;-0,161;-0,203;-0,068;-0,153;-0,115;-0,106;0,009;0,027;-0,038;-0,042;0,074;0,052;-0,089;
2024-04-16;-0,043;-0,038;;;-0,170;-0,206;-0,075;-0,163;-0,125;-0,116;0,007;0,028;-0,039;-0,049;0,069;0,050;-0,099;
2024-04-17;-0,043;-0,037;;;-0,168;-0,208;-0,072;-0,163;-0,123;-0,114;0,009;0,030;-0,036;-0,048;0,071;;-0,102;
2024-04-18;-0,044;;;;-0,167;-0,216;-0,071;-0,173;-0,130;-0,114;;;;-0,054;0,064;0,045;-0,105;
2024-04-22;;;;;;;;;;;;;;;;;;
2024-04-23;;-0,037;;;;;;;;;0,008;0,027;-0,037;;;;;
2024-04-24;-0,035;;;;-0,160;-0,209;-0,055;-0,166;-0,130;-0,107;;;;-0,048;0,073;0,054;-0,105;
2024-04-25;-0,036;-0,037;;;;;;;;;0,005;0,023;-0,043;;;;;
2024-04-26;;-0,037;;;-0,156;-0,216;-0,045;-0,158;-0,131;-0,104;0,008;0,024;-0,039;-0,046;0,071;0,055;-0,110;
2024-04-29;-0,033;-0,036;;;-0,154;-0,208;-0,047;-0,153;-0,131;-0,101;0,012;0,029;-0,036;-0,043;0,073;0,059;;
2024-04-30;-0,036;-0,036;;;-0,152;-0,205;-0,048;-0,147;-0,128;-0,101;0,011;0,028;-0,036;-0,041;0,076;0,061;-0,098;
2024-05-02;-0,035;-0,036;;;-0,152;-0,197;;-0,162;-0,135;-0,102;0,011;0,030;-0,037;-0,048;0,070;0,058;-0,103;
2024-05-03;-0,039;;;;-0,148;-0,184;;-0,150;-0,123;-0,098;0,011;0,031;-0,036;-0,039;0,074;0,058;;
2024-05-06;;-0,036;;;;;;;;;;;;;;;;
2024-05-07;-0,029;-0,037;;;-0,146;-0,191;-0,034;-0,148;-0,121;-0,097;0,013;0,031;-0,036;-0,039;0,074;0,053;-0,099;
2024-05-08;-0,027;-0,037;;;-0,144;-0,187;-0,034;-0,146;-0,120;-0,093;0,015;0,033;-0,033;-0,035;0,081;0,058;-0,101;
2024-05-10;-0,023;-0,036;;;-0,142;-0,193;-0,025;-0,140;-0,120;-0,092;0,012;0,030;-0,034;-0,033;0,082;0,055;-0,102;
2024-05-13;-0,026;-0,036;;;-0,138;-0,197;-0,018;-0,139;-0,124;-0,089;0,013;0,031;-0,034;-0,034;0,083;0,055;-0,103;
2024-05-14;-0,023;-0,036;;;-0,139;-0,197;-0,019;-0,140;-0,122;-0,090;0,012;0,031;-0,033;-0,033;0,084;0,056;-0,102;
2024-05-15;-0,022;-0,036;;;;-0,194;;-0,136;-0,120;;0,015;0,032;-0,033;-0,032;0,086;0,053;-0,105;
2024-05-16;;-0,036;;;-0,137;-0,202;-0,023;-0,137;-0,118;-0,090;0,012;0,027;-0,037;-0,035;0,082;0,056;-0,102;
2024-05-17;;;;;-0,134;-0,201;-0,017;-0,139;-0,119;-0,087;0,012;0,029;-0,036;-0,034;0,083;0,059;-0,103;
2024-05-20;;;;;;;;;;;;;;;;;;
2024-05-21;-0,026;-0,036;;;-0,142;-0,204;-0,027;-0,141;-0,120;-0,092;0,011;0,026;-0,038;-0,037;0,081;0,055;-0,106;
2024-05-22;-0,025;-0,036;;;-0,138;-0,202;-0,026;-0,135;-0,116;-0,090;0,010;0,026;-0,038;-0,035;0,082;0,054;-0,108;
2024-05-23;-0,030;-0,036;;;-0,138;-0,208;-0,030;-0,134;-0,113;-0,090;0,008;0,025;-0,039;-0,036;0,081;0,059;-0,107;
2024-05-24;-0,032;-0,036;;;-0,140;-0,210;-0,032;-0,134;-0,116;-0,092;;;;-0,038;0,080;0,060;-0,107;
2024-05-27;;;;;-0,141;;-0,033;;;;;;;;;0,057;-0,108;
2024-05-28;;-0,036;;;;;;;;;0,004;0,019;-0,045;;;;;
2024-05-29;-0,039;-0,036;;;-0,151;-0,223;-0,044;-0,142;-0,120;-0,104;0,001;0,016;-0,047;-0,049;0,066;0,049;-0,117;
2024-05-30;-0,043;-0,036;;;-0,151;-0,214;-0,041;-0,140;-0,120;-0,105;0,003;0,021;-0,042;-0,048;0,069;0,047;-0,112;
2024-05-31;-0,042;;;;-0,160;-0,211;-0,052;-0,146;-0,133;-0,113;;;;-0,051;0,068;0,044;-0,111;
2024-06-03;;-0,035;;;;;;;;;0,001;0,018;-0,046;;;;;
2024-06-04;-0,043;-0,035;;;-0,163;-0,219;-0,051;-0,159;-0,136;-0,118;0,000;0,017;-0,049;-0,057;0,064;0,029;-0,113;
2024-06-05;-0,039;;;;-0,154;-0,221;-0,054;-0,155;-0,132;-0,115;0,001;0,017;-0,050;-0,056;0,063;0,047;;
2024-06-07;-0,038;-0,036;;;-0,158;-0,221;-0,058;-0,156;-0,127;-0,115;-0,005;0,011;-0,054;-0,056;0,066;0,054;-0,116;
2024-06-10;-0,038;-0,036;;;;-0,214;;-0,150;-0,120;;-0,004;0,017;-0,046;-0,050;0,071;0,062;-0,108;
2024-06-11;-0,039;-0,035;;;-0,158;-0,214;-0,056;-0,155;-0,121;-0,115;-0,006;0,019;-0,045;-0,054;0,067;0,057;-0,114;
2024-06-12;-0,043;-0,035;;;-0,151;-0,204;-0,056;-0,141;-0,111;-0,111;-0,005;0,018;-0,046;-0,045;0,072;0,061;-0,114;
2024-06-13;-0,041;-0,034;;;-0,154;-0,207;-0,058;-0,146;-0,115;-0,113;-0,006;0,013;-0,049;-0,053;0,063;0,055;-0,124;
2024-06-14;-0,035;-0,034;;;-0,148;-0,207;-0,055;-0,145;-0,110;-0,106;-0,002;0,020;-0,043;-0,050;0,066;0,064;-0,121;
2024-06-17;-0,036;-0,033;;;-0,145;-0,210;-0,052;-0,145;-0,110;-0,107;-0,003;0,019;-0,045;-0,050;0,066;;-0,123;
2024-06-18;-0,040;-0,034;;;-0,145;-0,215;-0,054;-0,145;-0,108;-0,105;-0,004;0,017;-0,046;-0,050;0,065;0,064;-0,125;
2024-06-19;;-0,034;;;-0,141;;-0,050;;;;-0,006;;;;;0,063;-0,124;
2024-06-20;;-0,034;;;-0,141;-0,216;-0,052;-0,144;-0,106;-0,101;-0,005;0,015;-0,047;-0,050;0,063;0,063;-0,123;
2024-06-24;-0,035;;;;-0,145;-0,189;-0,054;-0,150;-0,109;-0,104;;;;-0,046;0,068;0,067;-0,123;
2024-06-25;;-0,033;;;;;;;;;-0,004;0,016;-0,046;;;;;
2024-06-26;-0,036;-0,033;;;-0,144;-0,188;-0,057;-0,153;-0,104;-0,104;-0,004;0,017;-0,044;-0,048;0,066;0,069;-0,116;
2024-06-27;-0,033;-0,033;;;-0,141;-0,184;-0,058;-0,151;-0,096;-0,100;;;;-0,044;0,069;0,074;-0,110;
2024-06-28;-0,031;-0,033;;;;;;;;-0,097;-0,001;0,021;-0,039;;;;;
2024-07-01;-0,031;-0,033;;;;-0,177;;-0,151;-0,101;;-0,003;0,015;-0,046;-0,044;0,070;0,077;-0,111;
2024-07-02;-0,028;-0,033;;;-0,144;-0,179;-0,057;-0,147;-0,095;-0,100;;0,020;-0,043;-0,043;0,066;0,080;-0,106;
2024-07-03;-0,034;-0,032;;;;;;;;;-0,001;0,019;-0,043;;;;;
2024-07-04;;-0,032;;;-0,141;;-0,059;;;;-0,003;;;;;0,078;-0,105;
2024-07-05;-0,030;-0,032;;;-0,145;-0,191;-0,066;-0,144;-0,092;-0,102;0,000;0,017;-0,045;-0,046;0,061;0,076;-0,105;
2024-07-08;-0,030;-0,032;;;-0,142;-0,177;-0,067;-0,140;-0,090;-0,100;0,002;0,019;-0,043;-0,042;0,065;0,078;-0,107;
2024-07-09;-0,031;-0,032;;;-0,137;-0,169;-0,062;-0,137;-0,085;-0,094;0,003;0,020;-0,040;-0,040;0,067;0,083;-0,099;
2024-07-10;-0,025;-0,032;;;-0,137;-0,166;-0,060;-0,138;-0,087;-0,093;0,004;0,021;-0,036;-0,041;0,065;0,082;-0,096;
2024-07-11;-0,023;-0,032;;;-0,133;-0,154;-0,054;-0,130;-0,086;-0,089;0,006;0,025;-0,036;-0,033;0,073;0,081;-0,099;
2024-07-12;-0,022;;;;-0,132;-0,147;-0,048;-0,131;-0,093;-0,088;;;;-0,032;0,076;0,085;-0,094;
2024-07-18;;;;;;;;;;;0,013;0,028;-0,037;;;;;
2024-07-19;;-0,032;;;-0,147;-0,158;-0,066;-0,145;-0,110;-0,101;;;;-0,035;0,076;0,086;-0,100;
2024-07-22;-0,018;-0,032;;;;;;;;;0,012;0,029;-0,034;;;;;
2024-07-23;-0,018;-0,031;;;-0,143;-0,146;-0,064;-0,137;-0,101;-0,097;0,016;0,032;-0,029;-0,028;0,085;0,093;-0,090;
2024-07-24;-0,025;-0,031;;;-0,147;-0,145;-0,067;-0,142;-0,108;-0,099;0,017;0,036;-0,028;-0,030;0,086;0,096;-0,095;
2024-07-25;-0,029;;;;-0,155;-0,135;-0,073;-0,154;-0,122;-0,105;;;;-0,033;0,086;0,096;-0,099;
2024-07-26;;-0,031;;;;;;;;;0,019;0,037;-0,027;;;;;
2024-07-29;-0,021;-0,031;;;-0,153;-0,135;-0,075;-0,141;-0,113;-0,105;0,021;0,038;-0,026;-0,028;0,083;0,100;-0,092;
2024-07-30;-0,020;-0,031;;;-0,156;-0,138;-0,079;-0,144;-0,118;-0,107;0,020;0,037;-0,027;-0,028;0,087;0,100;-0,095;
2024-07-31;-0,018;-0,030;;;-0,153;-0,151;-0,076;-0,142;-0,117;-0,105;0,019;0,038;-0,030;-0,030;0,083;0,099;-0,090;
2024-08-01;-0,025;-0,031;;;-0,154;-0,150;-0,080;-0,142;-0,114;-0,106;0,017;0,038;-0,031;-0,030;0,085;0,097;-0,098;
2024-08-02;-0,029;;;;-0,169;-0,163;-0,091;-0,168;-0,147;-0,121;;;;-0,045;0,078;0,093;-0,126;
2024-08-05;;-0,033;;;;;;;;;0,018;0,041;-0,038;;;;;
2024-08-06;-0,050;-0,032;;;-0,187;-0,180;-0,103;-0,185;-0,163;-0,141;0,015;0,036;-0,040;-0,060;0,066;0,075;-0,140;
2024-08-07;-0,054;-0,033;;;-0,178;-0,180;-0,097;-0,177;-0,149;-0,131;0,012;0,031;-0,039;-0,055;0,063;0,081;-0,124;
2024-08-08;-0,044;-0,032;;;-0,180;-0,190;-0,097;-0,188;-0,157;-0,134;0,012;0,030;-0,040;-0,062;0,063;0,080;-0,124;
2024-08-09;-0,040;-0,032;;;-0,173;-0,177;-0,093;-0,179;-0,148;-0,127;0,015;0,035;-0,035;-0,055;0,071;0,084;-0,128;
2024-08-12;-0,042;-0,031;;;-0,170;-0,178;-0,088;-0,179;-0,145;-0,123;0,015;0,035;-0,036;-0,055;0,070;0,085;;
2024-08-13;-0,036;-0,031;;;-0,168;-0,170;-0,084;-0,172;-0,137;-0,121;0,017;0,037;-0,033;-0,050;0,074;0,083;-0,115;
2024-08-14;;-0,031;;;-0,172;-0,174;-0,092;-0,174;-0,136;-0,123;0,017;0,036;-0,034;-0,050;0,072;0,080;-0,117;
2024-08-15;-0,027;;;;;;;;;;;;;;;;;
2024-08-16;-0,021;-0,030;;;-0,159;-0,167;-0,080;-0,158;-0,119;-0,111;0,018;0,037;-0,028;-0,039;0,080;0,091;-0,103;
2024-08-19;-0,025;-0,030;;;-0,161;-0,167;-0,081;-0,162;-0,121;-0,114;0,016;0,035;-0,033;-0,041;0,078;0,086;-0,102;
2024-08-20;-0,029;-0,030;;;-0,164;-0,164;-0,089;-0,159;-0,119;-0,119;0,014;0,031;-0,036;-0,042;0,078;0,086;-0,103;
2024-08-21;-0,027;-0,030;;;-0,170;-0,163;-0,094;-0,163;-0,124;-0,123;0,013;0,029;-0,039;-0,045;0,075;0,082;-0,105;
2024-08-22;-0,026;;;;-0,168;-0,166;-0,091;-0,163;-0,124;-0,123;;;;-0,044;0,077;0,083;-0,098;
2024-08-27;;-0,029;;;;;;;;;0,012;0,027;-0,039;;;;;
2024-08-28;-0,030;-0,029;;;-0,177;-0,174;-0,110;-0,168;-0,137;-0,132;0,010;0,026;-0,040;-0,045;0,078;0,080;-0,097;
2024-08-29;-0,025;-0,028;;;-0,175;-0,172;-0,108;-0,166;-0,136;-0,131;0,008;0,024;-0,041;-0,045;0,079;0,083;-0,095;
2024-08-30;-0,018;-0,028;;;-0,171;-0,171;-0,103;-0,159;-0,134;-0,127;0,008;0,026;-0,040;-0,041;0,083;0,087;-0,093;
2024-09-02;;-0,028;;;-0,172;;-0,105;;;;0,008;;;;;0,086;-0,096;
2024-09-03;-0,020;;;;-0,176;-0,160;-0,107;-0,164;-0,138;-0,130;0,010;0,028;-0,037;-0,041;0,084;0,086;-0,098;
2024-09-04;-0,029;;;;-0,177;-0,175;-0,106;-0,173;-0,148;-0,131;;;;-0,047;0,082;0,088;-0,108;
2024-10-08;;;;;;;;;;;;;;;;;;
2024-10-09;;;;;;;;;;;;;;;;;;
2024-10-10;;-0,026;;;-0,133;;-0,008;;;-0,097;0,012;0,029;-0,028;;;;;
2024-10-11;-0,006;-0,025;;;;-0,186;;-0,149;-0,108;;0,013;0,030;-0,027;-0,031;0,075;0,096;-0,091;
2024-10-14;0,000;-0,025;;;-0,127;-0,175;-0,004;-0,142;-0,103;-0,094;0,012;;;-0,028;0,076;0,097;;
2024-10-15;-0,007;-0,025;;;-0,135;-0,171;-0,025;-0,139;-0,106;-0,101;0,014;0,031;-0,024;-0,025;0,078;0,098;-0,093;
2024-10-16;;-0,025;;;-0,137;-0,168;-0,027;-0,150;-0,115;-0,101;0,015;0,033;-0,023;-0,030;0,075;0,096;-0,100;
2024-10-17;-0,004;-0,025;;;-0,136;-0,159;-0,033;-0,142;-0,107;-0,100;0,018;0,035;-0,020;-0,024;0,082;0,095;-0,095;
2024-10-18;-0,001;-0,024;;;-0,131;-0,163;-0,017;-0,143;-0,105;-0,095;0,017;0,035;-0,021;-0,025;0,081;0,094;-0,097;
2024-10-21;-0,003;-0,024;;;-0,129;-0,164;-0,021;-0,144;-0,103;-0,092;0,016;0,033;-0,022;-0,024;0,083;0,094;-0,097;
2024-10-22;-0,005;-0,025;;;-0,131;-0,165;-0,018;-0,151;-0,104;-0,094;0,014;0,031;-0,025;-0,029;0,078;0,088;-0,108;
2024-10-23;-0,003;-0,024;;;-0,128;-0,164;-0,013;-0,147;-0,103;-0,092;0,014;0,031;-0,024;-0,028;0,077;0,094;-0,114;
2024-10-24;-0,005;-0,025;;;-0,133;-0,165;-0,023;-0,147;-0,106;-0,097;0,016;0,034;-0,023;-0,028;0,080;0,091;-0,112;
2024-10-25;-0,007;;;;-0,132;-0,164;-0,020;-0,142;-0,100;-0,095;;;;-0,026;0,078;0,091;-0,109;
2024-10-28;;-0,024;;;;;;;;;0,017;0,032;-0,022;;;;;
2024-10-29;-0,004;-0,025;;;-0,127;-0,165;-0,012;-0,140;-0,098;-0,091;0,018;0,034;-0,019;-0,024;0,080;0,097;-0,103;
2024-10-30;-0,005;-0,024;;;-0,132;-0,164;-0,020;-0,141;-0,096;-0,096;0,017;0,034;-0,019;-0,024;0,080;0,093;-0,100;
2024-10-31;-0,009;-0,024;;;-0,140;-0,169;-0,027;-0,152;-0,108;-0,103;0,019;0,035;-0,019;-0,030;0,077;0,092;-0,106;
2024-11-01;;;;;;;;;;;;;;;;;;
2024-11-04;-0,007;;;;-0,131;-0,166;-0,014;-0,146;-0,102;-0,095;;;;-0,026;0,082;0,092;;
2024-11-05;;-0,024;;;;;;;;;0,021;0,035;-0,021;;;;;
2024-11-06;0,006;-0,023;;;-0,128;-0,145;-0,014;-0,139;-0,087;-0,093;0,022;0,037;-0,015;-0,016;0,087;0,103;-0,093;
2024-11-07;0,003;;;;-0,121;-0,137;0,003;-0,130;-0,081;-0,084;;0,039;-0,011;-0,010;0,092;0,100;-0,089;
2024-11-08;;-0,023;;;;;;;;;0,019;;;;;;;
2024-11-11;0,012;;;;-0,129;-0,129;-0,014;-0,131;-0,079;-0,093;;;;-0,007;0,098;0,101;-0,085;
2024-11-12;;-0,023;;;;;;;;;0,021;0,040;-0,008;;;;;
2024-11-13;0,010;-0,023;;;-0,141;-0,138;-0,028;-0,132;-0,071;-0,101;0,020;0,039;-0,008;-0,008;0,097;0,094;-0,094;
2024-11-14;0,009;;;;-0,141;-0,145;-0,032;-0,131;-0,071;-0,101;;;;-0,007;0,097;0,098;-0,091;
2024-11-15;;-0,023;;;;;;;;;0,022;0,041;-0,008;;;;;
2024-11-18;0,002;-0,023;;;-0,140;-0,184;-0,028;-0,142;-0,081;-0,099;0,021;0,041;-0,008;-0,018;0,082;0,092;-0,094;
2024-11-19;0,000;-0,023;;;-0,140;-0,185;-0,030;-0,144;-0,083;-0,099;0,021;0,041;-0,009;-0,021;0,077;0,093;-0,096;
2024-11-20;0,004;-0,023;;;-0,138;-0,175;-0,027;-0,141;-0,080;-0,099;0,021;0,040;-0,007;-0,018;0,083;;-0,100;
2024-11-21;0,006;-0,022;;;-0,139;-0,170;-0,028;-0,134;-0,074;-0,097;0,022;0,043;-0,004;-0,012;0,087;0,095;-0,095;
2024-11-22;0,011;-0,023;;;-0,135;-0,160;-0,036;-0,126;-0,065;-0,095;0,024;0,044;-0,001;-0,004;0,097;0,105;-0,088;
2024-11-25;0,015;-0,022;;;-0,135;-0,151;-0,036;-0,120;-0,061;-0,093;0,025;0,048;0,001;0,002;0,100;0,109;-0,086;
2024-11-26;0,014;-0,022;;;-0,137;-0,157;-0,039;-0,123;-0,063;-0,097;0,023;0,045;-0,002;-0,001;0,097;0,108;-0,090;
2024-11-27;0,005;;;;-0,140;-0,154;-0,034;-0,129;-0,069;-0,099;;0,045;-0,003;-0,004;0,097;0,108;-0,090;
2024-11-28;;-0,022;;;;;;;;;0,025;;;;;;;
2024-11-29;0,010;-0,021;;;-0,144;-0,153;-0,042;-0,130;-0,072;-0,106;0,026;0,046;-0,004;-0,005;0,095;0,103;-0,086;
2024-12-02;0,016;-0,022;;;-0,138;-0,154;-0,035;-0,126;-0,066;-0,100;0,027;0,047;-0,000;-0,003;0,098;0,107;-0,077;
2024-12-03;0,015;-0,022;;;-0,133;-0,156;-0,031;-0,123;-0,065;-0,095;0,028;0,048;-0,000;-0,001;0,099;0,109;-0,073;
2024-12-04;0,019;-0,022;;;-0,130;-0,157;-0,031;-0,118;-0,054;-0,092;0,029;0,050;0,002;0,003;0,103;0,113;-0,069;
2024-12-05;0,013;-0,021;;;-0,132;-0,159;-0,035;-0,125;-0,056;-0,094;0,026;0,047;-0,001;-0,001;0,099;0,112;-0,073;
2024-12-06;0,017;;;;-0,133;-0,162;-0,031;-0,128;-0,056;-0,096;;;;-0,002;0,101;0,110;-0,080;
2024-12-09;;-0,021;;;;;;;;;0,027;0,047;0,002;;;;;
2024-12-10;0,015;-0,021;;;-0,124;-0,160;-0,016;-0,130;-0,056;-0,088;0,027;0,046;0,002;-0,003;0,102;0,114;-0,079;
2024-12-11;0,017;;;;-0,124;-0,162;-0,018;-0,124;-0,054;-0,087;;;;-0,001;0,105;0,117;-0,069;
2024-12-12;;-0,021;;;;;;;;;0,025;0,045;0,002;;;;;
2024-12-13;0,017;-0,021;;;-0,121;-0,176;-0,020;-0,119;-0,055;-0,085;0,023;0,045;0,002;-0,003;0,100;0,117;-0,075;
2024-12-16;0,015;-0,021;;;-0,125;-0,172;-0,025;-0,117;-0,059;-0,087;0,022;0,042;-0,001;-0,004;0,100;0,116;-0,080;
2024-12-17;0,013;-0,021;;;-0,132;-0,172;-0,028;-0,121;-0,061;-0,092;0,020;0,041;-0,003;-0,007;0,095;0,110;-0,085;
2024-12-18;0,008;-0,020;;;-0,129;-0,172;-0,024;-0,121;-0,059;-0,089;0,021;0,041;-0,003;-0,008;0,094;0,111;-0,081;
2024-12-19;0,007;-0,021;;;-0,128;-0,192;-0,021;-0,132;-0,069;-0,090;0,019;0,040;-0,003;-0,018;0,087;0,112;-0,087;
2024-12-20;0,007;;;;-0,132;-0,189;-0,023;-0,139;-0,077;-0,095;;;;-0,022;0,082;0,106;-0,092;
2025-02-06;;;;;;;;;;;;;;;;;;
2025-02-18;;-0,015;;;;;;;;;0,009;0,032;-0,007;;;;;
2025-02-19;0,017;-0,015;;;-0,130;-0,192;0,018;-0,142;-0,050;-0,084;0,006;0,030;-0,009;-0,013;0,089;0,060;-0,086;
2025-02-20;0,017;-0,015;;;-0,129;-0,187;0,024;-0,137;-0,057;-0,083;0,006;0,032;-0,008;-0,013;0,090;0,062;-0,085;
2025-02-21;0,008;-0,015;;;-0,124;-0,184;0,030;-0,140;-0,056;-0,080;0,008;0,031;-0,009;-0,015;0,085;0,059;-0,088;
2025-02-24;0,006;;;;-0,136;-0,195;0,014;-0,154;-0,072;-0,091;;;;-0,024;0,082;0,053;;
2025-02-25;;-0,014;;;;;;;;;0,008;0,034;-0,007;;;0,053;;
2025-02-26;0,006;-0,014;;;-0,131;-0,205;0,028;-0,155;-0,070;-0,088;0,008;0,033;-0,007;-0,022;0,084;;-0,087;
2025-02-27;;-0,014;;;-0,135;-0,203;0,024;-0,162;-0,074;-0,093;0,010;0,033;-0,005;-0,025;0,082;0,048;-0,086;
2025-02-28;0,008;-0,014;;;-0,142;-0,208;0,017;-0,167;-0,076;-0,098;0,011;0,037;-0,002;-0,026;0,082;0,045;-0,091;
